         3538 function calls (3421 primitive calls) in 0.040 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/utils/connection.py:56(__getitem__)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/compiler.py:2093(<lambda>)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/base.py:460(__init__)
      5/4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/expressions.py:265(resolve_expression)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/adapt.py:51(quote)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/asgiref/local.py:99(__getattr__)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/backends/base/operations.py:208(fetch_returned_insert_columns)
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/_encodings.py:81(conn_encoding)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/expressions.py:421(copy)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/where.py:38(split_having_qualify)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/asgiref/local.py:80(_get_storage)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/fields/related_lookups.py:170(as_sql)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/query.py:1849(_chain)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/cursor.py:833(fetchmany)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/copy.py:66(copy)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/query.py:1860(_clone)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/lookups.py:98(process_lhs)
      197    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/asgiref/local.py:44(_get_context_id)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/pq/pq_ctypes.py:528(consume_input)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/manager.py:150(get_queryset)
        6    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/pq/pq_ctypes.py:967(escape_literal)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/cursor.py:680(__init__)
    28/26    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/compiler.py:1483(get_converters)
     16/4    0.000    0.000    0.000    0.000 {built-in method builtins.any}
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/options.py:83(make_immutable_fields_list)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/cursor.py:64(__init__)
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/expressions.py:1138(as_sql)
       67    0.000    0.000    0.000    0.000 {built-in method __new__ of type object at 0x7fe28e0265c0}
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/backends/base/base.py:293(_prepare_cursor)
       21    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/typing.py:868(__new__)
       10    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/query.py:294(__init__)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/options.py:563(concrete_fields)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/compiler.py:1745(<listcomp>)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/lookups.py:25(__init__)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/query.py:359(chain)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/compiler.py:1746(<listcomp>)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/query.py:1769(setup_joins)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/query.py:1653(names_to_path)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/fields/related.py:1184(get_col)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/_queries.py:43(__init__)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/inspect.py:3027(bind_partial)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/query.py:1653(order_by)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/compiler.py:1504(results_iter)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/query.py:1223(solve_lookup_type)
    21/19    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/utils/deconstruct.py:15(__new__)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/base.py:430(_base_manager)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/query.py:379(_get_col)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/inspect.py:2889(_bind)
      126    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       16    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/inspect.py:2477(__init__)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/query.py:314(clone)
       15    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/pq/pq_ctypes.py:532(is_busy)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/options.py:467(base_manager)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/where.py:242(contains_aggregate)
       19    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/pq/pq_ctypes.py:777(status)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/utils/datastructures.py:233(__new__)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/cursor.py:818(fetchone)
      5/2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/where.py:236(_contains_aggregate)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/pq/pq_ctypes.py:295(send_query_params)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/inspect.py:2760(__init__)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/inspect.py:1800(_signature_bound_method)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/expressions.py:1154(get_db_converters)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/options.py:521(fields)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/types/string.py:21(__init__)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/fields/__init__.py:798(db_type)
       11    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/pq/pq_ctypes.py:214(parameter_status)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/query.py:231(__init__)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/where.py:239(<genexpr>)
       16    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/pq/pq_ctypes.py:206(status)
       22    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/compiler.py:519(quote_name_unless_alias)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/compiler.py:1659(prepare_value)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/types/string.py:106(__init__)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/_adapters_map.py:69(__init__)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/psycopg/cursor.py:605(_check_result_for_fetch)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/fields/related.py:1162(db_type)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/expressions.py:386(get_lookup)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/fields/__init__.py:2803(rel_db_type)
        5    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/copy.py:258(_reconstruct)
        4    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/backends/base/base.py:183(queries_logged)
        2    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/query_utils.py:48(__init__)
        1    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/sql/compiler.py:1026(find_ordering_name)
        3    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/site-packages/django/db/models/query_utils.py:232(get_lookup)
        8    0.000    0.000    0.000    0.000 /usr/local/lib/python3.8/abc.py:96(__instancecheck__)
